,Unnamed: 0,content,data,like,place,tags,kor_nouns
13,13,"무신사 스탠다드 에서 선물받았다 🐱상의- 스웨트 맨투맨 XL하의- 스웨트 팬츠 XL신발-플러피룸 슈즈 M*옷느낌*  많은 옷들을 가지고 있지만 무신사  스탠다드 는 다른브랜드와달리 질감,소재,내구성 까지 다른 브랜드들의 옷과는 가성비 부터 다르다 상의 소재와 시보리의 짱짱 함이 택배 기다리는 내마음보다 쫀쫀 해서 매우 만족하게됐다 바지 사이즈는 평소 31-32입는데 허벅지 부분은 만족인데 허리가 스트링으로 줄여도 조금커서 조금 작은걸 고를까 싶었다 한번 접어입으면 될거같다  밑단은 시보리로 조거형식으로 나와서 편안하게 입을수 있겠다 수족냉증때문에 발시려워서 겨울에도 양말 신는데 이신발 때문에 폭신폭신하고 털도 맨들맨들 거려서 아주만족🙃..........#무탠다드서프라이즈 #무신사스탠다드 #일상스타그램 #일상 #likeforlikes #선팔 #맞팔 #소통 #좋아요 #데일리 #인친 #코로나 #좋아요반사 #오오티디 #좋반 #선팔하면맞팔 #인스타그램 #좋아요그램 #선팔환영 #코로나19 #좋반테러 #좋반 #followforfollowback #like4like #instagood #following #fff #korea #데일리코디 #koreanstyle #f4f",2021-01-22,좋아요 40개,,"['#무탠다드서프라이즈', '#무신사스탠다드', '#일상스타그램', '#일상', '#likeforlikes', '#선팔', '#맞팔', '#소통', '#좋아요', '#데일리', '#인친', '#코로나', '#좋아요반사', '#오오티디', '#좋반', '#선팔하면맞팔', '#인스타그램', '#좋아요그램', '#선팔환영', '#코로나19', '#좋반테러', '#좋반', '#followforfollowback', '#like4like', '#instagoo', '#following', '#fff', '#korea', '#데일리코디', '#koreanstyle', '#f4f']","['스탠다드', '선물', '상의', '스웨', '트', '투맨', '하의', '스웨', '트', '팬츠', '신발', '플러피룸', '슈즈', '옷', '느낌', '옷', '가지', '스탠다드', '브랜드', '달리', '질감', '소재', '구성', '브랜드', '옷', '가성', '상의', '소재', '보리', '짱짱', '함', '택배', '마음', '쫀쫀', '매우', '바지', '사이즈', '평소', '허벅지', '부분', '만족', '허리', '스트링', '커서', '한번', '밑단', '보리', '조거', '형식', '수족', '냉증', '발', '워', '겨울', '양말', '신발', '폭', '폭', '신하', '맨', '맨', '거려', '아주', '만족', '무탠', '다드', '서프라이즈', '스탠다드', '스타', '일리', '코로나', '오오', '티디', '코로나', '데일', '리코', '디']"
14,14,#장어 #먹스타그램 #코로나 #보양식 #ㅋ,2021-01-22,좋아요 3개,,"['#장어', '#먹스타그램', '#코로나', '#보양식', '#ㅋ']","['장어', '스타', '코로나', '보양식']"
15,15,너땜에 9시면 집가야되잖아#코로나 야 제발 꺼져,2021-01-22,좋아요 1개,,['#코로나'],"['땜', '코로나', '제발']"
16,16,근데 이것도 다 옛날 얘기 ㅠ-ㅠ 코로나 때문에 약속도 없어요 이제에엥ㅇ,2021-01-22,좋아요 3개,,[],"['코로나', '약속']"
17,17,드디어 불금 🔥 코로나 끝나서 불금좀 즐기자 ㅠㅠ..#퇴근 #불금 #집 #최고 #코로나 #끝나라제발 #아이패드 #ipadpro4 #애플교육할인 #앱등이의삶 #에플가로수길 #daily #selfie,2021-01-22,좋아요 11개,퇴근 후 우리집,"['#퇴근', '#불금', '#집', '#최고', '#코로나', '#끝나라제발', '#아이패드', '#ipa', '#애플교육할인', '#앱등이의삶', '#에플가로수길', '#selfie']","['코로나', '퇴근', '집', '최고', '코로나', '제발', '아이패드', '애플', '교육', '할인', '앱등이', '삶', '가로수길']"
18,18,트레이닝 세뚜가 이렇게 대존예✨🖤코로나 때문에 핫한 불금은 없지만 입는 자체만으로 핫하게 만들어줄 트레이닝 세뚜🥵우리 직원들도 구매 완료:)- 먼드 골지 후드집업- 먼드 골지 패드탑- 먼드 골지 밴딩 팬츠,2021-01-22,좋아요 9개,,[],"['트레이닝', '뚜', '존예', '코로나', '핫', '자체', '핫', '트레이닝', '뚜', '직원', '완료', '먼드', '골지', '후드', '집업', '먼드', '골지', '패드', '탑', '먼드', '골지', '밴딩', '팬츠']"
19,19,오랜만에 불금. 코로나도 좋은 사람들..#불금#쭈꾸미#용우동할매쭈꾸미#군자#맞팔#코로나#좋은사람들,2021-01-22,좋아요 6개,,"['#불금', '#쭈꾸미', '#용우동할매쭈꾸미', '#군자', '#맞팔', '#코로나', '#좋은사람들']","['코로나', '사람', '쭈꾸미', '용', '우동', '쭈꾸미', '군자', '코로나', '사람']"
20,20,얼굴뿐이냐 😅--------#야구#일상#운동선수#셀피#2021#20살#02년생#좋아요#좋아요반사#좋반#좋아요테러#좋테반사#팔로우#맞팔#선팔#선팔하면맞팔#디엠#디엠환영#인스타그램#일상스타그램#야구스타그램#코로나#마스크#셀스타그램 #instagram#fff#instagood#followforfollowback#instalike#follow,2021-01-22,좋아요 12개,,"['#야구', '#일상', '#운동선수', '#셀피', '#2021', '#20살', '#02년생', '#좋아요', '#좋아요반사', '#좋반', '#좋아요테러', '#좋테반사', '#팔로우', '#맞팔', '#선팔', '#선팔하면맞팔', '#디엠', '#디엠환영', '#인스타그램', '#일상스타그램', '#야구스타그램', '#코로나', '#마스크', '#셀스타그램', '#instagram', '#fff', '#instagoo', '#followforfollowback', '#instalike', '#follow']","['얼굴', '야구', '운동선수', '년생', '디엠', '디엠', '스타', '야구', '스타', '코로나', '마스크', '스타']"
21,21,#성남 한의원#코로나 무색하게 하는 한의원#대박 사람 겁나 많았음 ~,2021-01-22,좋아요,,"['#성남', '#코로나', '#대박']","['성남', '한의원', '코로나', '무색', '한의원', '대박', '사람']"
22,22,그래 맞긴하지-#좋아요 #맞팔 #선팔 환영^^유머는 👉 @dhoney1224-#코로나  #포옹  #방역  #유머백화점 #댕댕이 #사랑 #애기 #강아지 #고양이 #냥이 #집사 #남친 #여친 #팔로우 #일상 #아기 #소통 #여행 #운동 #연애 #육아 #팔로우,2021-01-22,조회 4회,"Seoul, Korea","['#좋아요', '#맞팔', '#선팔', '#코로나', '#포옹', '#방역', '#유머백화점', '#댕댕이', '#사랑', '#애기', '#강아지', '#고양이', '#냥이', '#집사', '#남친', '#여친', '#팔로우', '#일상', '#아기', '#소통', '#여행', '#운동', '#연애', '#육아', '#팔로우']","['유머', '코로나', '포옹', '방역', '유머', '백화점', '댕댕', '사랑', '애기', '강아지', '고양이', '냥', '집사', '남친', '여친', '아기', '여행', '운동', '연애', '육아']"
23,23,"2021 드디어, 운명적 사랑이 시작된다!VIP성혼의 마지막절차 에스노블에서, 에로스 당신의 프쉬케를 만나세요.https://blog.naver.com/snoble01/222216514783집안까지 생각하는 당신은 에스노블회원이십니다. VIP 당신만을 위한 프리미엄 맞춤서비스, 에스노블과 상의하세요상담문의/예약 02-3445-4777 https://m.snoble.com/#결혼 #노블 #결혼정보회사 #노블레스결혼 #노블전문 #결혼정보업체 #인연 #맞선 #재혼 #재혼전문 #전문직 #노블결혼정보 #노블결혼정보업체 #소개팅 #노블타임 #엔노블 #제이노블 #퍼플스 #디노블 #르매리 #청담동 #선물 #2021 #VIP #코로나 #상류층 #하이클래스 #하이엔드",2021-01-22,좋아요 1개,,"['#결혼', '#노블', '#결혼정보회사', '#노블레스결혼', '#노블전문', '#결혼정보업체', '#인연', '#맞선', '#재혼', '#재혼전문', '#전문직', '#노블결혼정보', '#노블결혼정보업체', '#소개팅', '#노블타임', '#엔노블', '#제이노블', '#퍼플스', '#디노블', '#르매리', '#청담동', '#선물', '#2021', '#VIP', '#코로나', '#상류층', '#하이클래스', '#하이엔드']","['운명', '사랑', '성혼', '마지막', '절차', '에스', '노블', '에로스', '프쉬케', '집안', '에스', '노블', '니', '위', '프리미엄', '맞춤', '서비스', '에스', '노블', '상의', '결혼', '노블', '결혼', '정보', '회사', '노블레스', '결혼', '노블', '전문', '결혼', '정보', '업체', '인연', '맞선', '재혼', '재혼', '전문', '전문직', '노블', '결혼', '정보', '노블', '결혼', '정보', '업체', '소개팅', '노블', '타임', '노블', '제이노블', '퍼플', '스', '디', '노블', '르', '매리', '청담동', '선물', '코로나', '상류층', '하이', '클래스', '하이엔드']"
24,24,"오늘은 자전거타고 찍어서 어설프지만봄날에 찾아주실 크리에이터님들이 멋지게 찍어주실것을 기대하며 😎💛슬로시티 하동도 밤에 불빛이 있어요.. !!연인들과 걷지마세요 , 위험해요 코로나 시국에는 마스크 꼭꼭 쓰고 거리두기하면서 우리 모두 혼자 다녀요 🤣혼자 산책하기 좋은 하동 폐철도 공원 빛의 거리#슬로시티하동 #하동여행 #크리에이터 #급구#코로나 #거리두기 #마스크 꼭꼭 😷",2021-01-22,조회 35회,,"['#슬로시티하동', '#하동여행', '#크리에이터', '#급구', '#코로나', '#거리두기', '#마스크']","['자전거', '타고', '봄날', '크리에이터', '슬로시티', '하동', '밤', '불빛', '연인', '코로나', '시국', '마스크', '꼭꼭', '산책', '하동', '폐', '철도', '공원', '빛', '슬로시티', '하동', '하동', '여행', '크리에이터', '급구', '코로나', '두기', '마스크', '꼭꼭']"
25,25,3가지 #컬러 #트레이닝복 #봄 #신상 #데끼 #맨투맨 #조거팬츠 #츄리닝 #운동 #남자 #코디스타그램 #패션피플 #부산 #쇼핑몰 #대한민국 #1등 #오프라인 #세일 #셀카그램 #심심 #코로나,2021-01-22,좋아요,,"['#컬러', '#트레이닝복', '#봄', '#신상', '#데끼', '#맨투맨', '#조거팬츠', '#츄리닝', '#운동', '#남자', '#코디스타그램', '#패션피플', '#부산', '#쇼핑몰', '#대한민국', '#1등', '#오프라인', '#세일', '#셀카그램', '#심심', '#코로나']","['가지', '컬러', '트레이닝복', '봄', '신상', '데끼', '투맨', '조거', '팬츠', '츄리닝', '운동', '남자', '코', '디스', '패션', '피플', '부산', '쇼핑몰', '대한민국', '오프라인', '심심', '코로나']"
26,26,Mask off주인공 buff🤐😷🥴...#99 #23 #마스크 #싫어 #코로나 #터지기전 #사진 #다렉 #daily #insta #follow #f4f #ffff #followforfollowback #follow #오오티디 #ootd #dm #선팔 #맞팔 #팔로우 #소통 #일상 #데일리 #인친 #좋반 #테러 #좋아요 #👍🏻,2021-01-22,좋아요 11개,,"['#99', '#23', '#마스크', '#싫어', '#코로나', '#터지기전', '#사진', '#다렉', '#insta', '#follow', '#f4f', '#ffff', '#followforfollowback', '#follow', '#오오티디', '#oot', '#선팔', '#맞팔', '#팔로우', '#소통', '#일상', '#데일리', '#인친', '#좋반', '#테러', '#좋아요', '#👍🏻']","['주인공', '마스크', '코로나', '기전', '렉', '오오', '티디', '일리']"
27,27,"불금 심심하다 할거 추천죰,,,😞#불금 #코로나 #할거없음",2021-01-22,좋아요 17개,,"['#불금', '#코로나', '#할거없음']","['죰', '코로나']"
28,28,토요일같은 금요일...#heima #팔공산 #코로나+미세먼지 #fila_화보,2021-01-22,좋아요 8개,,"['#heima', '#팔공산', '#코로나+미세먼지', '#fila_화보']","['토요일', '금요일', '팔공산', '코로나', '미세먼지', '화보']"
29,29,😁😁😁-------#야구#일상#운동선수#셀피#2021#20살#02년생#좋아요#좋아요반사#좋반#좋아요테러#좋테반사#팔로우#맞팔#선팔#선팔하면맞팔#디엠#디엠환영#인스타그램#일상스타그램#야구스타그램#코로나#마스크#셀스타그램 #instagram#fff#instagood#followforfollowback#instalike#follow,2021-01-22,좋아요 18개,,"['#야구', '#일상', '#운동선수', '#셀피', '#2021', '#20살', '#02년생', '#좋아요', '#좋아요반사', '#좋반', '#좋아요테러', '#좋테반사', '#팔로우', '#맞팔', '#선팔', '#선팔하면맞팔', '#디엠', '#디엠환영', '#인스타그램', '#일상스타그램', '#야구스타그램', '#코로나', '#마스크', '#셀스타그램', '#instagram', '#fff', '#instagoo', '#followforfollowback', '#instalike', '#follow']","['야구', '운동선수', '년생', '디엠', '디엠', '스타', '야구', '스타', '코로나', '마스크', '스타']"
30,30,어디 나가질 못하니집에서 노는데 협조가 일도안됨😂,2021-01-22,좋아요 7개,,[],"['집', '협조', '일도']"
31,31,"#리틀넥청담.목표달성한(할) 자들의 만남😍매달 매년 검은머리 파뿌리 될때까지힘차게 살아봅시다🔥🔥🔥🔥🔥.우리의 성장을,그리고 이런 대접을 베푸시고더 기뻐하는 찐리더 @boyoung486 감사합니다!그리고,,,,,,우리의 인연을 이어주신 @kjs.nu 찐으로 사...사....감사합니다😆.#청담맛집 #도산공원맛집 #코로나 물러가면 #다함께 만나용😍",2021-01-22,좋아요 6개,,"['#리틀넥청담.목표달성한(할)', '#청담맛집', '#도산공원맛집', '#코로나', '#다함께']","['리틀', '넥', '청담', '목표', '달성', '만남', '매달', '매년', '머리', '파', '뿌리', '성장', '대접', '리더', '인연', '청담', '맛집', '도산', '공원', '맛집', '코로나']"
32,32,오랜만에 정신차리고반신욕기에 앉아 힐링타임그런데..셀카 어케 찍는거죠?😱감을 잃은건지..코로나로 불어난 살때문인지😨😨저.. 다이어트 시작해요아무도 말리지마세요😤..#푸드파이터 #와인에치즈 #코로나 #날살찌운것들 #반신욕기 #멘붕 #확찐자 #다이어트할거야 #말리지마 #ㅠㅠ #치맥이땡긴다,2021-01-22,좋아요 19개,,"['#푸드파이터', '#와인에치즈', '#코로나', '#날살찌운것들', '#반신욕기', '#멘붕', '#확찐자', '#다이어트할거야', '#말리지마', '#ㅠㅠ', '#치맥이땡긴다']","['욕기', '타임', '어케', '감', '코로나', '불어', '다이어트', '아무', '말리', '푸드파이터', '와인', '치즈', '코로나', '욕기', '멘붕', '다이어트', '치맥']"
33,33,드디어 첫 출근!.....#순금 #명함 #입사기념 #한돈 #입사 3주  #코로나 #때문에 #첫출근 #회사원 #앞으로 #잘다니자 #👍 #금값 #올라라,2021-01-22,좋아요 4개,,"['#순금', '#명함', '#입사기념', '#한돈', '#입사', '#코로나', '#때문에', '#첫출근', '#회사원', '#앞으로', '#잘다니자', '#👍', '#금값', '#올라라']","['첫', '출근', '순금', '명함', '입사', '기념', '돈', '입사', '코로나', '첫출근', '회사원', '앞', '금값', '라라']"
34,34,#미리#생일축하#어린이집#오랜만에#등원#친구들#만나서#좋음#7살#형아#마스크#필수#코로나#사라져라,2021-01-22,좋아요 1개,북서울 꿈의숲,"['#미리', '#생일축하', '#어린이집', '#오랜만에', '#등원', '#친구들', '#만나서', '#좋음', '#7살', '#형아', '#마스크', '#필수', '#코로나', '#사라져라']","['미리', '생일', '축하', '어린이집', '등원', '형아', '마스크', '필수', '코로나']"
35,35,라인 cosplayspon나이는 구애받지 않습니다. 언제든 문의주세요.코스프레 혹은 제복 입는 직업계통의 분들 중점적으로 구합니다예쁜분들보다 착한분들이 더 좋습니다 염두해주세요에이전시 아닙니다 수수료 요구 없어요외모 타투 흉터등 상관 없으며 즐길줄 아시는분 디엠주세요기본급 협의 가능합니다#스폰 #스폰서 #부업 #대출 #목돈 #일상 #ootd #패션 #데일리 #대학생 #고등학생 #코디 #뷰티 #카페 #코로나 #알바 #모델 #페이모델 #학생 #돌싱 #육아 #부업맘 #코스프레 #코스어 #간호사 #스튜디어스 #대출 #승무원 #간호사 #필라테스 #타투 #헬스트레이너,2021-01-22,좋아요 3개,,"['#스폰', '#스폰서', '#부업', '#대출', '#목돈', '#일상', '#oot', '#패션', '#데일리', '#대학생', '#고등학생', '#코디', '#뷰티', '#카페', '#코로나', '#알바', '#모델', '#페이모델', '#학생', '#돌싱', '#육아', '#부업맘', '#코스프레', '#코스어', '#간호사', '#스튜디어스', '#대출', '#승무원', '#간호사', '#필라테스', '#타투', '#헬스트레이너']","['라인', '나이', '구애', '코스프레', '제복', '직업', '계통', '중점', '구합', '니', '염두', '에이전시', '수수료', '요구', '외모', '타투', '흉터', '상관', '아시', '디엠', '요기', '본급', '협의', '스폰', '스폰서', '부업', '대출', '목돈', '패션', '일리', '대학생', '고등학생', '코디', '뷰티', '카페', '코로나', '알바', '모델', '페이', '모델', '학생', '돌싱', '육아', '부업', '코스프레', '코스', '간호사', '스튜디어스', '대출', '승무원', '간호사', '필라테스', '타투', '헬스', '트레이너']"
36,36,"┏▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀┓╱⃟⚪҉͡🍃안녕하세요!  ƑℭℭIᎥɳꁅ นP̾ᱝ►⃟💙ཽ҉˚ྀꦿ꧂ 경주 샵앤플렛(𝖘𝖍𝖆𝖗𝖕.𝖓𝖋𝖑𝖆𝖙)풀빌라펜션 입니다.저희 샵앤플렛 풀빌라펜션의 전객실 에서는 넓고 푸른 동해바다를 볼 수 있으며 광활하게 펼쳐지는 자연의 아름다움을 느낄 수 있음은 물론, 이국적인 풍경을 자아내 낭만적인 분위기를 더해준답니다.┗▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄┛┏▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀┓╱⃟💙ᭂ҉͡🍃샵앤플렛 풀빌라 펜션의 인피니티 수영장은 깨끗한 신수가 24시간 공급되는 시스템으로 동절기30도와34도의 미온수선택 결제로 입실내내 시간제한과 추가미온수 요금없이 퇴실하실때 까지 동해바다의 일출과 일몰을 감상하시며 물놀이를 즐기실수 있습니다.┗▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄┛┏▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀┓╱⃟💙ᭂ҉͡🍃세련된 객실 인테리어를 자랑하는 객실 내부에는 전객실 스파 시설이 갖춰져 있어 하루의 피로를 풀 수 있고, 1층과3층 인피니티 온수 수영장의 하늘그네와 천상의문 포토존은 인생샷!을 남기시기 충분합니다.┗▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄┛┏▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀┓╱⃟💙ᭂ҉͡🍃환상적인 동해바다 오션뷰 샵앤플렛 풀빌라펜션 의 시설은 ‘힐링 여행’을 선물해 드립니다. 더불어 대형 스마트벽걸이와 천정형 에어컨은, 무료 와이파이와 올레TV가 설치되어 있어 여행지에서의 불편함을 최소화했으며샵앤플렛풀빌라펜션을 방문했던 여행고객님들의 높은 만족도를 보이고 있답니다.┗▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄┛┏▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀┓╱⃟💙ᭂ҉͡🍃샵앤플렛 풀빌라펜션은 대중교통을 이용하는 손님을 위해 사전 예약 하에 감포 터미널에서부터 펜션까지 픽업하는 서비스를 운영 중이랍니다.탁트인 오션뷰를 바라보며 휴가를 즐길수 있는 샵앤플렛 풀빌라에서 좋은추억 많이 만들어 가실길 바랍니다!감사합니다.┗▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄┛██▄◣예약문의 0507-1441-5679██▀◤홈페이지 http://www.sharpnflat.co.kr#경주펜션#경주풀빌라#대구맘#비키니 #경주스파펜션#경주애견펜션#경주애견동반펜션#경주펜션추천#경주풀빌라추천#경주숙소#졸업여행#경주가볼만한곳#경주커플여행#경주예쁜펜션#포항맘#겨울여행#일상#코로나#국내풀빌라#울산맘#서울맘#경주맘#부산맘#국내여행#모델#데일리",2021-01-22,좋아요 1개,,"['#경주펜션', '#경주풀빌라', '#대구맘', '#비키니', '#경주스파펜션', '#경주애견펜션', '#경주애견동반펜션', '#경주펜션추천', '#경주풀빌라추천', '#경주숙소', '#졸업여행', '#경주가볼만한곳', '#경주커플여행', '#경주예쁜펜션', '#포항맘', '#겨울여행', '#일상', '#코로나', '#국내풀빌라', '#울산맘', '#서울맘', '#경주맘', '#부산맘', '#국내여행', '#모델', '#데일리']","['경주', '샵앤플렛', '풀', '빌라', '펜션', '샵앤플렛', '풀', '빌라', '펜션', '객실', '푸른', '동해', '바다', '볼', '자연', '움', '음', '국적', '풍경', '낭만', '분위기', '샵앤플렛', '풀', '빌라', '펜션', '인피니티', '수영장', '신수', '공급', '시스템', '절기', '도의', '미온수', '선택', '결제', '입실', '내내', '시간제', '한과', '미온수', '요금', '퇴', '동해', '바다', '일출', '일몰', '감상', '물놀이', '객실', '인테리어', '자랑', '객실', '내부', '객실', '스파', '시설', '하루', '피로', '풀', '층', '층', '인피니티', '온수', '수영장', '하늘', '그네', '천상', '의문', '포토', '존', '인생', '샷', '환상', '동해', '바다', '오션', '뷰', '샵앤플렛', '풀', '빌라', '펜션', '시설', '여행', '선물', '대형', '스마트', '벽', '걸이', '천정', '에어컨', '와이파이', '올레', '설치', '여행지', '최소', '샵앤', '렛풀', '빌라', '펜션', '방문', '여행', '만족도', '보이', '샵앤플렛', '풀', '빌라', '펜션', '대중교통', '이용', '손님', '사전', '감포', '터미널', '펜션', '픽업', '서비스', '운영', '중이', '랍니', '탁트인', '오션', '뷰', '휴가', '샵앤플렛', '풀', '빌라', '추억', '홈페이지', '경주', '펜션', '경주', '풀', '빌라', '대구', '비키니', '스파', '펜션', '애견', '펜션', '애견', '펜션', '경주', '펜션', '경주', '풀', '빌라', '경주', '숙소', '졸업여행', '경주', '곳', '경주', '커플', '여행', '경주', '펜션', '포항', '겨울', '여행', '코로나', '국내', '풀', '빌라', '울산', '서울', '경주', '부산', '국내', '여행', '모델', '일리']"
37,37,카페 가고싶다.,2021-01-22,좋아요 14개,니맘속,[],['카페']
